5 ELECTRICITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 5.2 Supply and consumption of electricity - GWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GWh,,,,,,,,
Year,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,,,,,,,
,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter,1st quarter,2nd quarter,3rd quarter,4th quarter p,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indigenous Production,98430.0,83881.0,82935.0,97455.0,101053.0,85273.0,82947.0,98878.0,103481.0,88506.4,84500.4,100580.1,107286.8,89932.6,85736.3,101823.0,106683.3,89684.4,88495.2,102383.4,108153.9,93043.7,90506.6,106504.9,110922.7,87640.2,89628.1,105738.7,109711.5,93175.3,89564.6,105909.8,112158.1,91165.7,90200.9,103757.6,107399.6,91748.8,88846.8,108834.8,107786.1,90181.9,87224.8,103725.3,105775.3,85211.1,85632.6,100134.8,108183.3,86506.7,82877.7,104500.6,103369.9,85066.3,83419.9,96125.8,99899.1,85328.0,81439.6,97206.3,101369.6,83733.0,79501.0,93680.1,93477.5,78663.9,76122.2,89832.4,95543.0,78522.4,76327.1,88482.9,92215.4,78021.0,76051.4,93013.2,93789.9,77079.6,75597.7,92181.3,93227.8,77206.5,75379.9,88101.7,,,,,,,
MPPs,90299.0,76770.0,75609.0,89462.0,92009.0,77391.0,74571.0,89735.0,93066.8,79378.3,75809.9,90833.9,98379.2,81454.8,77663.4,93137.7,97228.0,80913.6,79972.1,93228.2,98340.2,83818.3,81553.8,96154.2,100871.5,78288.6,80768.4,95736.9,99495.2,83957.6,80060.4,95770.1,101773.4,81578.5,80668.5,93359.4,97396.1,82184.1,79593.1,98284.6,97962.5,81172.7,78054.9,93960.0,95480.3,76211.7,76277.2,90356.4,98432.5,77546.1,73784.7,94693.7,93558.8,75682.7,74138.8,86253.2,90008.9,75919.6,72023.4,87372.3,92300.5,74581.3,70882.7,83954.2,83203.9,68888.8,66368.2,79477.5,84264.7,66645.0,64903.4,77438.2,80539.6,65442.3,63037.1,80965.2,80770.8,63040.0,61864.2,79249.0,79777.7,62838.4,61704.2,74519.8,,,,,,,
Auto Producers,7673.0,6675.0,6922.0,7667.0,8238.0,7246.0,7583.0,8476.0,9718.8,8484.4,8058.6,9022.8,8226.1,8109.7,7499.7,7886.0,8717.2,8180.8,7885.1,8469.7,9160.2,8635.0,8184.6,9629.0,9336.7,8723.3,8245.6,9310.3,9450.1,8655.0,8813.2,9229.7,9311.2,8783.9,8542.7,9412.2,9113.1,8699.3,8219.5,9480.9,8870.8,8074.7,8081.1,8652.6,9253.6,8176.5,8448.0,8864.8,8886.1,8197.9,8388.0,8988.8,9040.7,8730.1,8579.1,9093.0,9096.3,8733.7,8711.1,9041.3,8326.9,8460.1,7910.7,8963.3,9482.8,9103.9,9125.7,9561.6,10555.6,11227.6,10770.4,10331.0,10913.3,11889.9,12321.5,11232.8,12227.9,13346.1,13097.1,12181.5,12704.6,13710.5,13145.1,13017.4,,,,,,,
Other sources,458.0,436.0,404.0,326.0,806.0,636.0,793.0,667.0,695.4,643.7,631.9,723.4,681.5,368.0,573.2,799.3,738.1,590.0,638.0,685.6,653.5,590.4,768.3,721.7,714.6,628.3,614.1,691.5,766.2,562.6,691.0,910.0,1073.5,803.3,989.7,986.0,890.4,865.4,1034.2,1069.3,952.8,934.5,1088.8,1112.8,1041.3,822.9,907.4,913.6,864.7,762.7,705.0,818.1,770.4,653.6,701.9,779.6,794.0,674.7,705.1,792.7,742.1,691.6,707.6,762.6,790.8,671.1,628.3,793.3,722.7,649.8,653.3,713.7,762.5,688.8,692.8,815.2,791.3,693.5,636.4,750.9,745.6,657.6,530.7,564.5,,,,,,,
Imports,4224.0,3993.0,890.0,3492.0,3646.0,3748.0,3419.0,3694.0,3265.1,3795.7,3766.5,3481.0,3251.3,2639.7,2671.0,2101.2,1968.9,2820.1,1130.6,3262.9,1334.5,1241.6,711.7,1831.5,2024.0,2231.7,2500.8,3027.3,2299.1,2716.3,2734.4,3410.3,2301.3,3307.7,2270.1,2402.6,1937.9,1933.0,3131.1,1610.9,2705.5,3735.1,3804.3,2048.7,1402.2,2984.9,1520.1,701.8,696.6,2025.5,2942.9,1478.6,1787.3,2054.5,2655.6,2192.7,3169.8,3280.6,4337.2,2986.7,3353.1,4340.3,5402.2,4437.2,5700.1,5770.3,6036.1,5736.7,5536.9,6105.0,6205.4,5113.6,6401.4,5676.0,5028.1,2912.5,3516.8,5476.0,5504.7,3669.5,5843.5,5519.7,5418.0,4551.2,,,,,,,
Exports,10.0,14.0,43.0,64.0,24.0,40.0,125.0,74.0,27.7,16.3,45.8,44.3,12.8,10.5,29.4,211.1,145.6,43.9,484.6,93.7,535.2,935.0,936.2,552.6,737.3,546.0,445.9,564.9,899.6,590.4,793.1,556.1,900.1,443.1,647.5,774.1,819.2,1043.0,466.7,1069.5,290.3,176.0,88.0,717.2,836.5,204.2,708.6,1999.0,2387.8,607.2,184.1,1302.8,723.2,525.0,296.6,922.1,1182.1,157.5,280.6,290.1,539.3,776.4,748.5,1037.7,807.9,694.1,603.6,617.8,577.0,504.0,282.3,492.0,366.1,318.7,283.2,1304.9,910.1,225.8,203.4,2067.7,467.5,368.7,489.7,898.9,,,,,,,
