ELECTRICITY,,,,,,,,,,,,,,,,,,,,,,,
TABLE 5.5. Availability and consumption of electricity,,,,,,,,,,,,,,,,TWh,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Public distribution system,Public distribution system,Public distribution system,Public distribution system,Public distribution system,Public distribution system,Public distribution system,Public distribution system,Public distribution system,Other generators,Other generators,Other generators,All electricity suppliers,All electricity suppliers,All electricity suppliers,,,,,,,
,,Electricity available,"Transmission, distribution and other losses",Sales to England and Wales,Sales to Scotland,Sales to Northern Ireland,Total Sales,Sales to Industrial,Sales to Domestic ,Sales to Other,Electricity available,Losses and statistical differences,Consumption of electricity,Electricity Available,Losses and statistical differences,Consumption of electricity,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1995,Quarter 1,89.71 ,8.76 ,,,,80.95 ,25.00 ,31.91 ,24.03 ,4.25 ,0.03 ,4.22 ,93.96 ,8.79 ,85.17 ,,,,,,,
1995,Quarter 2,72.54 ,6.45 ,,,,66.09 ,23.28 ,21.86 ,20.96 ,3.88 ,0.09 ,3.79 ,76.43 ,6.55 ,69.88 ,,,,,,,
1995,Quarter 3,69.72 ,6.03 ,,,,63.68 ,23.53 ,19.18 ,20.98 ,3.77 ,0.06 ,3.71 ,73.49 ,6.09 ,67.40 ,,,,,,,
1995,Quarter 4,85.94 ,9.07 ,,,,76.87 ,23.70 ,29.28 ,23.89 ,4.41 ,-0.18 ,4.59 ,90.36 ,8.89 ,81.47 ,,,,,,,
1996,Quarter 1,94.16 ,8.48 ,,,,85.68 ,26.44 ,33.90 ,25.34 ,4.81 ,-0.01 ,4.82 ,98.96 ,8.47 ,90.50 ,,,,,,,
1996,Quarter 2,75.79 ,7.45 ,,,,68.36 ,23.86 ,22.93 ,21.57 ,4.52 ,-0.08 ,4.60 ,80.31 ,7.36 ,72.96 ,,,,,,,
1996,Quarter 3,72.52 ,6.29 ,,,,66.23 ,24.66 ,20.11 ,21.46 ,4.36 ,0.18 ,4.18 ,76.89 ,6.46 ,70.42 ,,,,,,,
1996,Quarter 4,87.97 ,7.08 ,,,,80.87 ,25.31 ,30.55 ,25.00 ,4.97 ,-0.06 ,5.03 ,92.94 ,7.05 ,85.91 ,,,,,,,
1997,Quarter 1,92.07 ,8.12 ,,,,83.95 ,25.55 ,31.53 ,26.87 ,4.84 ,-0.10 ,4.94 ,96.91 ,8.02 ,88.89 ,,,,,,,
1997,Quarter 2,75.05 ,6.25 ,,,,68.79 ,23.98 ,22.33 ,22.48 ,4.77 ,-0.02 ,4.79 ,79.83 ,6.23 ,73.59 ,,,,,,,
1997,Quarter 3,73.35 ,6.14 ,,,,67.20 ,24.47 ,20.29 ,22.44 ,4.77 ,0.29 ,4.48 ,78.11 ,6.43 ,71.69 ,,,,,,,
1997,Quarter 4,87.86 ,6.56 ,,,,81.31 ,25.03 ,30.30 ,25.97 ,5.48 ,-0.11 ,5.59 ,93.34 ,6.45 ,86.89 ,,,,,,,
1998,Quarter 1,91.61 ,7.67 ,,,,83.94 ,25.97 ,32.35 ,25.62 ,5.47 ,0.02 ,5.45 ,97.08 ,7.69 ,89.39 ,,,,,,,
1998,Quarter 2,77.92 ,7.08 ,,,,70.83 ,23.96 ,24.36 ,22.51 ,5.15 ,0.03 ,5.12 ,83.07 ,7.12 ,75.95 ,,,,,,,
1998,Quarter 3,73.63 ,6.92 ,,,,66.71 ,23.40 ,21.16 ,22.15 ,5.58 ,0.03 ,5.55 ,79.21 ,6.95 ,72.26 ,,,,,,,
1998,Quarter 4,90.05 ,8.04 ,,,,82.00 ,24.13 ,31.54 ,26.33 ,5.76 ,0.01 ,5.75 ,95.81 ,8.06 ,87.75 ,,,,,,,
1999,Quarter 1,93.04 ,6.35 ,,,,86.68 ,26.44 ,33.85 ,26.38 ,5.93 ,0.02 ,5.91 ,98.96 ,6.37 ,92.59 ,,,,,,,
1999,Quarter 2,78.56 ,7.28 ,,,,71.27 ,24.05 ,23.69 ,23.54 ,5.58 ,0.03 ,5.55 ,84.14 ,7.32 ,76.82 ,,,,,,,
1999,Quarter 3,75.45 ,6.38 ,,,,69.08 ,24.48 ,21.55 ,23.05 ,6.04 ,0.04 ,6.00 ,81.49 ,6.41 ,75.08 ,,,,,,,
1999,Quarter 4,91.07 ,9.74 ,,,,81.33 ,24.25 ,31.22 ,25.85 ,6.27 ,0.03 ,6.24 ,97.32 ,9.75 ,87.57 ,,,,,,,
2000,Quarter 1,94.15 ,10.93 ,,,,83.24 ,25.08 ,32.64 ,25.51 ,7.16 ,-0.03 ,7.19 ,101.32 ,10.90 ,90.42 ,,,,,,,
2000,Quarter 2,81.10 ,7.67 ,,,,73.43 ,25.03 ,23.64 ,24.77 ,6.47 ,0.18 ,6.29 ,87.56 ,7.84 ,79.72 ,,,,,,,
