ELECTRICITY,,,,,,,,,,,,,,,,,
"TABLE 5.6  Imports, Exports and Transfers of electricity",,,,,,,,,,,,,,,,,GWh
,,,,,,,,,,,,,,,,,
,,Imports/Exports,,,,,,,,,,,,Transfers,,,
,,France-UK,France-UK,Ireland-NI,Ireland-NI,Netherlands-UK,Netherlands-UK,Ireland-Wales,Ireland-Wales,Belgium-UK,Belgium-UK,Total,Total,Scotland-England,England-Scotland,Scotland-NI,NI-Scotland
,,Imports,Exports,Imports,Exports,Imports,Exports,Imports,Exports,Imports,Exports,Imports,Exports,Transfer,Transfer,Transfer,Transfer
1998,Q1,4216.46,0,7.91,10.31,,,,,,,4224.37,10.31,,,,
1998,Q2,3969.31,0,23.2,14.09,,,,,,,3992.51,14.09,,,,
1998,Q3,880.72,0,9.22,43.02,,,,,,,889.93,43.02,,,,
1998,Q4,3720.89,0,11.63,63.17,,,,,,,3732.52,63.17,,,,
1999,Q1,3638.8,0,6.91,24.19,,,,,,,3645.71,24.19,,,,
1999,Q2,3741.98,0,6.12,39.65,,,,,,,3748.1,39.65,,,,
1999,Q3,3415.45,0,3.85,124.86,,,,,,,3419.3,124.86,,,,
1999,Q4,3688.26,0,5.86,74.15,,,,,,,3694.12,74.15,,,,
2000,Q1,3259.14,0.93,5.95,26.78,,,,,,,3265.09,27.71,3301.11,0,,
2000,Q2,3785.87,0,9.84,16.25,,,,,,,3795.71,16.25,2667.98,9.92,,
2000,Q3,3760.53,0,5.92,45.76,,,,,,,3766.45,45.76,1955.66,0.1,,
2000,Q4,3461.7,0,19.29,44.32,,,,,,,3480.99,44.32,1657.22,10.63,,
2001,Q1,3214.03,0,37.24,12.85,,,,,,,3251.27,12.85,2129.66,1.5,,
2001,Q2,2614.72,0,25.01,10.5,,,,,,,2639.73,10.5,2419.39,0,,
2001,Q3,2652.74,0,18.24,29.37,,,,,,,2670.98,29.37,1888.06,0.47,,
2001,Q4,2081.08,193.12,20.43,17.81,,,,,,,2101.51,210.93,2258.93,0,,
2002,Q1,1949.03,121.07,19.83,24.54,,,,,,,1968.86,145.61,2269.23,0.34,91.5,0
