,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4
Onshore Wind 6,"1,757 ","1,199 ","1,934 ","2,336 ","2,397 ","2,492 ","1,915 ","4,010 ","3,565 ","2,242 "," 2,647 "," 3,789 "," 3,974 "," 3,874 "," 2,769 "," 6,309 "," 6,666 "," 3,036 "," 2,884 "," 5,968 "," 7,161 "," 4,757 "," 3,809 "," 7,125 "," 6,380 "," 3,996 "," 4,604 "," 5,877 "," 7,723 "," 6,204 "," 5,655 "," 9,506 "," 9,412 "," 5,409 "," 5,539 "," 10,072 "
"Offshore Wind 6, 7",671 ,460 ,826 ,"1,103 ",998 ,"1,129 ","1,098 ","1,924 ","1,507 ","1,650 "," 1,707 "," 2,739 "," 2,805 "," 2,615 "," 1,965 "," 4,087 "," 4,384 "," 2,092 "," 2,242 "," 4,687 "," 4,676 "," 3,578 "," 3,412 "," 5,757 "," 5,150 "," 3,253 "," 3,584 "," 4,419 "," 5,166 "," 3,993 "," 3,961 "," 7,795 "," 7,974 "," 4,759 "," 5,050 "," 8,901 "
Shoreline wave / tidal 6,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 0 , 0 , 0 , -   , -   , -   , 0 , 0 , 0 , 2 , 1 , 3 , 3 , 1 , 1 
Solar photovoltaics 6,6 ,11 ,15 ,9 ,15 ,66 ,105 ,57 ,178 ,438 , 554 , 184 , 140 , 701 , 860 , 309 , 470 ," 1,473 "," 1,562 ", 549 , 937 ," 3,104 "," 2,696 ", 796 ," 1,462 "," 3,868 "," 3,747 "," 1,333 "," 1,610 "," 4,606 "," 3,972 "," 1,336 "," 1,794 "," 4,962 "," 4,571 "," 1,595 "
Hydro 6,845 ,654 ,856 ,"1,237 ","1,304 ","1,142 ","1,231 ","2,015 ","1,825 ",796 ," 1,054 "," 1,635 "," 1,253 ", 969 , 743 ," 1,736 "," 2,243 "," 1,113 ", 779 ," 1,752 "," 2,011 "," 1,425 "," 1,028 "," 1,833 "," 2,175 ", 977 ," 1,201 "," 1,264 "," 1,898 ", 909 ," 1,317 "," 1,803 "," 1,586 "," 1,012 ", 896 ," 1,971 "
Landfill gas 6,"1,301 ","1,291 ","1,301 ","1,324 ","1,327 ","1,317 ","1,318 ","1,355 ","1,309 ","1,289 "," 1,305 "," 1,305 "," 1,296 "," 1,292 "," 1,272 "," 1,314 "," 1,269 "," 1,262 "," 1,239 "," 1,264 "," 1,240 "," 1,212 "," 1,201 "," 1,220 "," 1,218 "," 1,171 "," 1,158 "," 1,156 "," 1,093 "," 1,055 "," 1,065 "," 1,071 "," 1,012 ", 974.80 , 962.38 , 968.27 
Sewage sludge digestion 6,175 ,189 ,180 ,179 ,189 ,198 ,190 ,197 ,191 ,186 , 175 , 187 , 180 , 204 , 184 , 197 , 192 , 225 , 208 , 215 , 225 , 233 , 217 , 220 , 236 , 251 , 229 , 234 , 241 , 247 , 235 , 244 , 239 , 263.19 , 227.61 , 238.22 
Energy from waste 8,378 ,383 ,378 ,390 ,378 ,368 ,377 ,381 ,423 ,431 , 465 , 453 , 415 , 401 , 419 , 413 , 469 , 466 , 485 , 480 , 608 , 605 , 684 , 685 , 726 , 626 , 678 , 710 , 848 , 823 , 871 , 844 , 890 , 886.96 , 878.04 , 837.03 
Co-firing with fossil fuels,579 ,460 ,678 ,716 ,828 ,599 ,792 ,874 ,658 ,402 , 421 , 347 , 126 , 69 , 70 , 72 , 33 , 37 , 28 , 25 , 36 , 36 , 57 , 55 , 51 , 15 , 5 , 47 , 52 , 0 , 1 , -   , -   , -   , -   , -   
"Animal Biomass (non-AD) 2, 6",167 ,161 ,143 ,156 ,159 ,154 ,154 ,148 ,178 ,141 , 144 , 180 , 166 , 167 , 144 , 151 , 159 , 161 , 132 , 162 , 170 , 171 , 142 , 165 , 171 , 165 , 141 , 173 , 172 , 164 , 141 , 173 , 170 , 167.02 , 133.12 , 174.86 
